rank,event_title,market_question,category,resolution,break_confidence,wrong_side_exposure_usd,market_volume_usd,end_date,surprise_type,surprise_subtype,status,analyst_note
1,Khamenei out as Supreme Leader of Iran by February 28?,Khamenei out as Supreme Leader of Iran by February 28?,Geopolitics,YES,98.9%,"129,607,149","131,114,971",2026-02-28,exogenous shock,geopolitical cascade,verified,Anchor case for exogenous shock category. ~$130M wrong-side exposure on a single underlying event
2,Iran x Israel/US conflict ends by...?,Iran x Israel/US conflict ends by April 7?,Geopolitics,YES,96.9%,"47,210,045","48,720,376",2026-03-31,exogenous shock,geopolitical cascade,verified,Part of Khamenei cascade
3,Trump x Ukraine mineral deal signed before May?,Trump x Ukraine mineral deal signed before May?,Politics,YES,98.2%,"6,710,520","6,833,524",2025-04-30,resolution dispute,UMA token-weighted vote flip,verified,via XO Labs paper. Canonical 'whale tax' case where UMA dispute mechanism resolved against the underlying truth. Strong tie-in to XO Labs work
4,What price will Bitcoin hit in January?,"Will Bitcoin dip to $80,000 in January?",Crypto,YES,97.4%,"6,576,718","6,752,277",2026-02-01,model failure,price threshold bracket,verified,"BTC dipped to ~$80K in Jan 2026 driven by a confluence of heavy leveraged liquidations, institutional ETF outflows, and macro risk-off sentiment (~$1.6B wiped across crypto in days; dlnews). No single discrete shock; ordinary volatility crossing the bracket threshold. Resolved YES on the dip-to-$80K market."
5,US next strikes Iran on...?,"Will the US next strike Iran on February 28, 2026 (ET)?",Geopolitics,YES,95.7%,"5,586,350","5,837,357",2026-02-28,exogenous shock,geopolitical cascade,verified,Part of Khamenei cascade
6,Iran Strike on Israel by...?,Iran Strike on Israel by February 28?,Geopolitics,YES,96.2%,"4,813,585","5,006,329",2026-02-28,exogenous shock,geopolitical cascade,verified,Part of Khamenei cascade
7,What price will Bitcoin hit in February?,"Will Bitcoin dip to $85,000 by February 28, 2025?",Crypto,YES,96.6%,"4,576,547","4,737,627",2025-02-28,model failure,price threshold bracket,verified,"BTC fell below $85K by late Feb 2025 from multiple diffuse causes, Trump tariff fears, the ~$1.5B Bybit hack, ETF outflows, liquidations after support broke, and disappointment over the pace of pro-crypto policy (vtmarkets). No single dominant catalyst; a confluence of ordinary market forces crossing the threshold, not one exogenous shock. Resolved YES."
8,US military action against Iran by Saturday?,US military action against Iran by Saturday?,Geopolitics,YES,95.7%,"4,287,768","4,480,427",2025-06-21,exogenous shock,geopolitical cascade,verified,Part of Khamenei cascade. End date was June 2025 per the earlier check; pre-dates main cascade
9,FIDE World Blitz Chess Champion,Will another person win the 2024 World Blitz Championship?,Other,YES,96.5%,"3,587,781","3,719,835",2024-12-31,resolution dispute,shared-title winner-take-all break,verified,"Carlsen and Nepomniachtchi shared the 2024 FIDE World Blitz title after a tied final; Carlsen proposed the co-championship due to fatigue and FIDE confirmed the historic shared title. The shared outcome broke Polymarket's winner-take-all negRisk structure. Resolution-layer failure, not an information gap."
10,"Bitcoin above $105,000 on June 6?","Bitcoin above $105,000 on June 6?",Crypto,YES,96.5%,"3,444,165","3,567,235",2025-06-06,model failure,price threshold bracket,verified,"BTC crossed above $105K in mid-to-late May 2025 and held into June on risk-on drift; Decrypt reported 'no immediately obvious reason for the latest leg up' beyond cooling trade-war fears. Ordinary movement crossing the threshold, not a discrete shock. (Exact June 6 close not independently pinned; classification rests on the absence of a catalyst.) Resolved YES."
11,US strikes Yemen by...?,US strikes Yemen by December 31?,Other,YES,97.4%,"3,261,569","3,348,634",2025-12-31,information-asymmetric,unpriced public signal,verified,"US struck Yemen repeatedly through 2025 (Operation Rough Rider, 1,100+ strikes Mar-May; ceasefire May 6 then sporadic strikes), so 'strikes by Dec 31' = YES in reality. The strikes were ongoing and broadly expected, but the specific trigger and timing were not knowable in advance. Closer to a mispricing of a near-certainty than a clean information gap."
12,"Elon Musk # tweets December 26 - January 2, 2026?","Will Elon Musk post 500-519 tweets from December 26 to January 2, 2026?",Tech,YES,99.3%,"2,633,358","2,651,921",2026-01-02,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
13,Nobel Peace Prize Winner 2025,Will María Corina Machado win the Nobel Peace Prize in 2025?,Other,YES,99.3%,"2,227,305","2,243,006",2025-10-10,information-asymmetric,sealed institutional decision,verified,"Maria Corina Machado won the 2025 Nobel Peace Prize (announced Oct 10 2025, Norwegian Nobel Committee). Committee deliberations are sealed 50 years; the decisive information was structurally unavailable to the market."
14,"Elon Musk # tweets December 30 - January 6, 2026?","Will Elon Musk post 520-539 tweets from December 30 to January 6, 2026?",Tech,YES,99.6%,"2,101,052","2,110,549",2026-01-06,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
15,Will Trump meet with Zelenskyy by...?,Will Trump meet with Zelenskyy by December 31?,Politics,YES,96.7%,"2,005,031","2,074,528",2025-12-31,information-asymmetric,unpriced timing,verified,"Trump and Zelenskyy met in person Feb 28, Aug 18 and Oct 17 2025 (ABC, NPR), so 'meet by Dec 31' = YES. The meetings were expected; the surprise was timing, a sudden meeting late in the window rather than whether one would occur. Mispriced timing, not sealed information."
16,"Elon Musk # tweets February 3 - February 10, 2026?","Will Elon Musk post 360-379 tweets from February 3 to February 10, 2026?",Tech,YES,100.0%,"1,994,646","1,995,643",2026-02-10,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
17,Total commitments for the Solomon public sale on MetaDAO,Over $80M committed to the Solomon public sale?,Other,YES,95.3%,"1,931,841","2,027,116",2026-01-01,model failure,threshold on continuous quantity,verified,"Solomon Labs MetaDAO public sale: commitments hovered at ~$3-5M for most of the Nov 15-18 2025 window, then spiked to $102,932,673 in the final hours (~50x target). 'Over $80M' resolved YES. The market priced the visible trajectory and was broken by a sudden tail move across the threshold. A binary on a continuous quantity (total committed capital) that strands the confident side on a late spike, the same compression failure as the price brackets."
18,"Elon Musk # tweets January 30 - February 6, 2026?","Will Elon Musk post 280-299 tweets from January 30 to February 6, 2026?",Tech,YES,96.5%,"1,848,339","1,915,377",2026-02-06,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
19,Solana above $130 on March 28?,Solana above $130 on March 28?,Crypto,NO,96.5%,"1,824,196","1,890,359",2025-03-28,model failure,price threshold bracket,verified,SOL traded in the low-$120s to ~$134 range around late March 2025; the 'above $130 on Mar 28' market resolved NO on ordinary near-threshold volatility with no identifiable shock. The bracket compressed a normal price band; confident YES side broke.
20,"Elon Musk # tweets January 2 - January 9, 2026?","Will Elon Musk post 560-579 tweets from January 2 to January 9, 2026?",Tech,YES,98.4%,"1,820,114","1,850,650",2026-01-09,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
21,What price will Ethereum hit in January?,"Will Ethereum dip to $2,400 in January?",Crypto,YES,98.2%,"1,673,479","1,703,286",2026-02-01,model failure,price threshold bracket,verified,"ETH fell in the Jan-Feb 2026 macro crash (same confluence as the BTC Jan case: liquidations, ETF outflows, risk-off). The 'dip to $2,400 in January' market resolved YES on ordinary crash dynamics, not a discrete ETH-specific shock."
22,"Elon Musk # tweets February 24 - March 3, 2026?","Will Elon Musk post 200-219 tweets from February 24 to March 3, 2026?",Tech,YES,99.2%,"1,545,411","1,557,874",2026-03-03,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
23,"Elon Musk # tweets February 6 - February 13, 2026?","Will Elon Musk post 360-379 tweets from February 6 to February 13, 2026?",Tech,YES,96.8%,"1,445,166","1,492,940",2026-02-13,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
24,Bitcoin above ___ on February 1?,"Will the price of Bitcoin be above $78,000 on February 1?",Crypto,NO,97.4%,"1,406,198","1,443,736",2026-02-01,model failure,price threshold bracket,verified,"The 'BTC above $78K on Feb 1 2026' market resolved NO on ordinary volatility around the threshold during the early-2026 drawdown; no identifiable discrete shock. Bracket compression, confident side broke."
25,"Elon Musk # tweets December 2 - December 9, 2025?","Will Elon Musk post 420-439 tweets from December 2 to December 9, 2025?",Tech,YES,99.6%,"1,394,753","1,401,058",2025-12-09,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
26,Who will be the next Pope?,Will Robert Francis Prevost be the next pope?,Other,YES,98.5%,"1,393,946","1,415,174",2025-12-31,information-asymmetric,private institutional decision,verified,"Cardinal Robert Francis Prevost elected Pope Leo XIV on May 8 2025 (second day of conclave); Pope Francis died Apr 21 2025. A dark-horse pick; conclave deliberations are sealed, so the outcome was structurally unforecastable."
27,Megaquake before August?,Megaquake before August?,Other,YES,99.4%,"1,364,255","1,373,181",2025-07-31,exogenous shock,natural disaster,verified,"M8.8 earthquake off the Kamchatka Peninsula, Jul 29 2025, the largest worldwide since 2011 (USGS event us6000qw60). Unforecastable natural event; information set shifted after the price formed."
28,What price will Solana hit in January?,Will Solana dip to $100 in January?,Crypto,YES,99.2%,"1,256,297","1,265,790",2026-02-01,exogenous shock,price threshold,verified,via earlier analysis. Classic exogenous shock on crypto price
29,"Elon Musk # tweets November 7 - November 14, 2025?","Will Elon Musk post 240-259 tweets from November 7 to November 14, 2025?",Tech,YES,98.8%,"1,224,962","1,239,840",2025-11-14,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
30,Will Trump increase tariffs on Mexico before May?,Will Trump increase tariffs on Mexico before May?,Politics,YES,98.6%,"1,169,875","1,186,486",2025-04-30,information-asymmetric,unpriced policy timing,verified,"Trump imposed an additional 25% tariff on Mexican imports via Executive Order Feb 1 2025 (effective Feb 4; briefly paused; partial reinstatement Mar). Public policy event widely anticipated given his stance; the market underpriced an erratic, fast-moving policy actor. Public-signal mispricing."
31,Bitcoin above ___ on March 4?,"Will the price of Bitcoin be above $72,000 on March 4?",Crypto,YES,95.9%,"1,168,837","1,219,444",2026-03-04,model failure,price threshold bracket,verified,The 'BTC above $72K on Mar 4 2026' market resolved YES on an ordinary recovery after the early-2026 drawdown; no single catalyst. Normal movement crossing the threshold.
32,Which artists will release a new song before 2026?,Will SZA release a new song in 2025?,Entertainment,YES,98.0%,"1,167,884","1,192,326",2025-12-31,information-asymmetric,private release decision,verified,"SZA released a surprise collaborative single 'Girl, Get Up' with Doechii on Dec 30 2025, an old track redone. Release decision sat privately with the artists, unknowable to the market. Verified via Rolling Stone (Dec 2025)."
33,"Elon Musk # tweets November 11 - November 18, 2025?","Will Elon Musk post 260-279 tweets from November 11 to November 18, 2025?",Tech,YES,98.0%,"1,131,697","1,155,383",2025-11-18,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
34,Ethereum price on July 4?,Will the price of Ethereum be greater than $2500 on July 4?,Crypto,NO,98.0%,"1,064,909","1,086,088",2025-07-04,model failure,price threshold bracket,verified,"ETH traded near $2,500-2,600 around early July 2025; the 'above $2,500 on Jul 4' market resolved NO amid broad crypto liquidation pressure. Ordinary near-threshold volatility, no discrete shock. Tight near-miss; bracket compressed the distribution."
35,"Elon Musk # tweets November 25 - December 2, 2025?","Will Elon Musk post 260-279 tweets from November 25 to December 2, 2025?",Tech,YES,95.4%,"1,061,365","1,112,542",2025-12-02,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
36,"Elon Musk # tweets February 7 - February 9, 2026?","Will Elon Musk post 115-139 tweets from February 7 to February 9, 2026?",Tech,YES,98.2%,"979,365","997,825",2026-02-09,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
37,Total commitments for the Solomon public sale on MetaDAO,Over $100M committed to the Solomon public sale?,Other,YES,98.1%,"935,373","953,489",2026-01-01,model failure,threshold on continuous quantity,verified,"Same underlying event as #17. Commitments sat at ~$3-5M for days then spiked to $102.9M in the final hours, so 'Over $100M' resolved YES. Binary threshold on a continuous quantity broken by a sudden late move; model failure, not an information gap."
38,Bitcoin above ___ on August 22?,Bitcoin above $116K on August 22?,Crypto,YES,99.7%,"922,373","925,149",2025-08-22,model failure,price threshold bracket,verified,"BTC reached ~$116-117K around Aug 22 2025 on renewed bullish macro and institutional demand (later hitting a record ~$124K); no single dominant catalyst (Powell's Jackson Hole tone contributed but the move was broad, per Moneycontrol). Ordinary trend movement crossing the threshold, not one exogenous shock. Resolved YES."
39,Will Pierre Poilievre lose his seat?,Will Pierre Poilievre lose his seat?,Other,YES,95.7%,"878,528","918,482",2025-04-28,information-asymmetric,unpriced local swing,verified,"Pierre Poilievre lost his Carleton seat to Liberal Bruce Fanjoy in the Apr 28 2025 federal election, ending a ~20-year tenure (BBC, CBC). The national signal was public, Trump's return and his pressure on Canada reshaped the race and swung the country to the Liberals, but the riding-level outcome surprised the market, which had over-anchored on the incumbent. National information public; local swing unpriced."
40,"Elon Musk # tweets December 5 - December 12, 2025?","Will Elon Musk post 440-459 tweets from December 5 to December 12, 2025?",Tech,YES,99.4%,"878,281","883,582",2025-12-12,model failure,negRisk count bracket compression,verified,"Weekly Musk tweet-count bracket. A count is a distribution; the bracket forces one bin and the realized count landed outside the favored bucket. Structural model failure by construction, part of the 25-market Musk cohort."
